Date 29/10/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
,Groundnut Oil (Packed),194.95,275,132,185,237,178.5,169,198.14,189.71,183,195.43,216,217.33,241,189.33,218.67,225.75,,191.79,182.84,231.67,,193.08,197.05,,,152,200,191.83,233,231.85,187.48,,215.03,168.5,,198.57,169.67,207.44
,Mustard Oil (Packed),165.29,209,124,173,163,173.75,176.67,167.5,155.5,139,161.88,178,190.33,177.5,173.83,160.67,184.92,185.29,170.39,169.63,190.8,172.5,163.08,181.72,181,160.9,184.88,150.13,177.55,148,169.67,150.75,189.33,181.41,162.7,176,160.16,159,164.32
,Vanaspati (Packed),139.53,183,92,141,162.67,133.25,129,145.94,132.97,124,124.88,159,159.67,161,138.67,140.33,155.42,149.25,142.28,125.75,163.58,169,135.94,146.26,154,157,134.14,152.33,139.91,145,159.33,127.3,142.17,149.15,111.11,139,138.08,140.33,137
,Soya Oil (Packed),138.43,198,92,148,,130.5,141.75,141.43,136.11,119,130,156,151.67,165,139.83,138,145.4,146.13,142.78,134.53,146,190,137.96,145.42,154,148.3,131.55,156.25,138.63,,150.07,129.35,155.5,,114.38,144,137.93,139.33,131.91
,Sunflower Oil (Packed),143.27,220,105,148,135,151,166,146.55,151.06,120,135.5,156,160.67,151.5,141,147.67,149.75,157.33,154.88,138.47,152,,143.92,150.68,,186,146.4,171.5,144.43,126,158.23,137.11,166,144.24,135.2,167.5,146.84,153.67,141.38
,Palm Oil (Packed),124.17,176,90,137,118,127.67,,121.94,116.89,100,123.83,135,122.33,135,134.67,120.33,114.5,130.2,122.67,121.22,145.82,,116.24,133.56,154,125,118.83,153.5,123.95,115,131.17,105.43,,129.68,123.4,130.25,117.76,93,118.37
,Gur,55.52,130,35,55,75.67,59.25,85,61.21,47.46,55,49.75,63,67,59,55.83,53.33,50,53.63,52.35,51.66,61.46,70,50.88,55.42,81,78.4,107.1,77.33,53.22,60,52.4,45.61,61,58.09,53.4,72,52.03,58.33,54.09
,Tea Loose,271.02,520,154,300,310,298.5,360,250.79,274.14,269,217.38,245,262.33,322.5,206.5,249.33,267.92,313.75,256.06,245.13,233.91,,228.69,307,220,367,490.82,304.64,279.74,332,274.47,295.5,401.67,284,284.78,227.75,238.44,269.67,267.68
,Salt Pack (Iodised),21.99,30,9,27,19.67,20.75,19.25,13.21,23.24,28,19.75,27,27.33,25.5,19.17,23.67,27.83,27.88,25.06,17.88,15.07,28,16.32,24.16,25,18.9,29.82,17.73,26.14,26,26.47,19.44,21.33,24.52,20.1,11,26.2,27.67,23.68
,Potato,37.16,71,24,30,68,41.5,38.5,33.29,32.56,39,40.5,33,36,48.5,40.17,32.67,37.75,35.75,34.78,40.19,49.79,44,33.88,40.58,41,38.4,48.64,40.88,33.43,50,30.53,37.43,40.83,50.47,38.3,38.5,31.28,34,31.41
,Onion,54.93,90,30,60,80.67,52.25,60.25,62.75,49.47,52,55,57,59.33,55,55.67,59,63.08,64.25,52.72,45.53,61.54,70,48.38,50.95,70,71.7,64.73,68.38,56.65,60,58.13,50.61,70.83,59.09,47.5,66.5,49.13,60.67,58.5
,Tomato,60.91,150,27,60,133.33,47.5,78.75,64.04,57.83,60,56.25,65,53.67,61.5,57.83,84.33,74.17,80.25,71.67,43.91,48.31,80,54.94,55.74,93,67.5,99.82,73.56,61.3,48,63,59.14,76,46.26,49.1,72.25,59.19,71.33,71.73
