Date 26/10/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
,Groundnut Oil (Packed),194,275,138,198,237,178.5,169,192.71,195.67,183,194.14,216,218.33,187.5,218.67,225.75,,194.42,180.22,231.67,,192.68,196.68,,172,,200,232,232.67,183.8,,212.17,167.9,,198.79,167,203
,Mustard Oil (Packed),166.37,209,124,165,165.5,173.75,177.33,168.1,156.64,139,154.86,178,189,167.75,160.67,184.33,179.33,173.73,170.19,190.9,174,162.34,181.56,154.75,179.17,149.2,180,147,169.57,143.2,194.5,184.59,162.7,177.25,160.59,154,168.53
,Vanaspati (Packed),139.78,183,92,159,166.5,133.25,133.5,141.47,133.11,124,122.14,159,160.33,136.75,140,155.25,150.5,143.47,126.48,163.67,179,134.96,146.21,157,121.4,152.33,136.17,144,158.14,127,146,150.54,111.11,139,138.68,143.5,137
,Soya Oil (Packed),138.67,198,92,137,,130.5,146.67,141.9,136.69,119,128.86,156,151.67,138.5,137.33,145.4,147.25,144.73,135.33,146,190,136.85,144,148.5,133,155.07,150,,148.07,122.4,161.25,,114.38,144,138,139,132.6
,Sunflower Oil (Packed),142.87,242,105,148,129,151,161.5,147.44,149.44,120,133.71,156,160.67,137.25,147.33,149.75,157.75,155.23,137.22,151.67,242,143.07,149.68,220,147.5,171.5,142.46,124,158.58,140,166,145,134.6,166.5,146.81,151,142.43
,Palm Oil (Packed),124.38,166,91,137,110.5,127.67,,120.38,116.5,100,123.83,135,121.67,132.5,120.33,114.5,128,124.53,122.22,142.55,,116.6,133.38,,120.75,142,124.85,115,130.55,101,,130.79,121.1,130.5,118.14,121,119.43
,Gur,55.75,130,36,52.5,77.5,59.25,90,61.67,47.48,55,49,63,67,55.25,53.33,50.25,52.5,53,52.26,59.82,58,50.63,55.21,78,108.88,77,55.15,58,53.14,41.6,61.67,58.25,53.4,70.75,52.06,56.5,54.13
,Tea Loose,266.86,520,30,300,300,298.5,340,251.67,274.75,269,213.71,245,262.33,206.25,249.33,266.75,310.75,264.43,243.63,233.7,30,228.22,307,341.5,492.11,312.08,295.82,332,272.93,320.5,385,288.17,284.78,229.5,236.21,267,258.13
,Salt Pack (Iodised),21.99,30,10,27,19,20.75,20,12.67,22.79,28,20.43,27,27.33,18.25,23.67,27.83,28,24.79,18.63,15.25,28,16.38,24.16,19.5,29.78,17.64,26.46,26,26.36,19,22,24.33,20.1,11,26.21,27.75,23
,Potato,36.78,71,24,30,65.5,41.5,39,33.05,32.9,39,39.29,33,36,38.75,32.33,37.92,36,34.73,39.93,48.83,45,33.83,40.95,39.13,49,40.47,32.92,48,30.93,38.2,43,50.08,37.8,39.25,31.2,35.75,30
,Onion,54.63,80,30,60,72.5,53.25,60.33,62.19,50.03,52,54.71,57,59.67,53.5,59,63,66.5,54.13,46.89,61,70,48.43,50.53,71.13,63.33,69.07,57.46,60,56.79,49.4,72.5,57.08,47.2,68,49.2,60.5,55.53
,Tomato,63.44,130,27,60,120,49.75,80.67,64.24,60.14,60,61.14,72,60.33,63.75,87.67,76.92,91,75,45.7,54.5,80,57.55,59.58,58.88,96.89,76.27,65,48,76.5,50.4,80,51,54.1,71.5,62,69.5,74.4
