Date 25/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
,Groundnut Oil (Packed),195.15,275,132,198,228,176,169,214.17,196,183,197,216,214.5,242.5,190.17,217.5,225.75,,197.23,185.75,229.33,,194.02,196.42,,152,,216,247,235.25,188.14,,213.85,168.5,,199.05,187.5,211.67
,Mustard Oil (Packed),168.15,221,124,165,180.5,176.75,175.5,170.48,163.15,139,161.86,178,191.5,184,176.83,164,187.92,189,169.94,171.5,199.2,183,164.75,182.56,167.8,181.22,155.93,183.44,137,171.36,153,188.67,184.37,163.8,179.25,161.56,169.5,163.95
,Vanaspati (Packed),143.85,198,92,143,166,133.75,133.67,144.94,140.24,124,130.29,167,170.5,163,140.33,158.5,162.25,156.29,147.47,130.5,171.83,176,139.43,149.11,159.33,136.29,156,150.18,146,167.29,130.68,140.83,158.09,114.22,139,140.49,152,137.38
,Soya Oil (Packed),142.71,198,92,148,,143.5,144.5,144.48,142.91,119,135.43,162,151.5,169.5,141.67,150.5,148.55,147.29,146,139.03,146,192,142.35,150.26,153.4,138.82,158.73,151.6,,158.93,133.32,151.5,,115.88,152.75,140.73,148.5,136.55
,Sunflower Oil (Packed),150.79,253,105,155,137,157.25,169,149.17,156.61,120,141,163,162,165.5,143.83,157,150.75,162.8,158.13,145.81,161.46,,148.68,155.32,215.5,147.25,171.5,156.94,135,160.33,141.81,172.75,155.65,138.8,175,148.61,161.5,147.41
,Palm Oil (Packed),130.41,166,91,148,120.5,137.5,,122.73,122.57,100,128.83,141,127,142.5,137,132.5,114.5,133,124.41,126.31,148.7,,116.47,139.81,125,121.29,148,140.5,121,142.09,111.89,,141.71,124.6,134.33,121.08,,123.47
,Gur,55.19,130,35,50,74,59.25,83.75,62.39,47.85,55,50.29,60,65,61,55.33,53.5,49.83,52.57,51.18,52.22,60.64,70,50.38,55,78.4,106.8,76.67,52.65,58,50.86,45.17,61,57.82,53.1,73,51.51,60.5,53.77
,Tea Loose,272.14,520,154,300,321,298.5,355,242.61,274.76,269,219.57,245,300,322.5,211.17,258,271.5,316.86,248.47,243,237,480,230.48,308.32,366.6,491.45,321,282.2,335,274.21,293.81,378.33,284.48,284.5,232,237.6,286,272.23
,Salt Pack (Iodised),21.95,30,9,28,19.5,18.75,19.5,13.35,23.24,28,18.86,27,28,25.5,18.83,26,27.92,28,24.76,17.94,15,28,16.19,24.16,18.9,29.82,18.33,25.76,26,26.5,20,21.33,24.61,19.6,10.5,25.8,29,24.41
,Potato,37.57,70,20,40,65,42.25,39.25,33.91,33.09,39,38.14,33,41,51,37,35.5,38.17,39.57,35.29,40.63,49.82,44,33.74,42.16,41.1,49.64,41.6,33.33,48,33.21,37.1,43.5,50.79,36.5,39.5,31.33,33.5,32.95
,Onion,56.35,109,24,60,104.5,55.75,68.25,63.74,52.06,52,51.43,60,54.5,61.5,55.17,58.5,61.92,64.29,58.59,46.81,73.09,70,45.66,57,74.8,65.91,75.07,56.83,57,54.86,49.69,75,65.15,46.1,69,49.43,60.5,59.86
,Tomato,51.04,130,19,50,90,37,73,64.96,53.82,60,39.14,48,40.5,45,43.83,52,59.08,58,56.35,33.97,36.27,80,45.28,43.11,57.3,98.82,74.33,48.5,31,53.71,53.31,68.33,38.26,41.6,65.5,46.44,45,60.73
