Date 19/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
,Groundnut Oil (Packed),195.5,275,132,198,228,177,169,214.33,197.06,183,198.33,216,214.5,241,189.38,211.75,215.8,,197.23,185.45,229.33,,194.6,198.11,,152,,197,258,232.33,187,,214.59,169.4,,198.79,169.25,211.89
,Mustard Oil (Packed),168.06,221,124,165,182,175,179,172.39,162.12,139,165.71,178,191.5,184,175.38,155.25,185.92,189.71,168.69,172.13,198.11,177,164.94,183.72,167.56,180.89,154.92,182.7,151,171.79,152.69,188.67,184.56,163,179.25,161.77,156,166.05
,Vanaspati (Packed),143.43,190,92,143,166.5,139.33,132,147.59,140.61,124,131,167,170.5,162,140.5,138.75,156.58,155.88,146,130.13,167.45,170,139.73,149.21,153,134.71,156,148.37,156,167.86,129.89,140.83,157.21,112.67,139,140.53,144.75,139.75
,Soya Oil (Packed),142.46,192,102,154,,144,143,145.35,143.29,119,131.71,159,151.5,168.5,141.88,138.75,147.09,149,145.06,138.81,146,192,142.7,151,152.67,133.18,155.38,146.5,,157,133.46,151.5,,114.38,151,140.64,139.75,136.9
,Sunflower Oil (Packed),149.73,253,105,159,140,161.33,168.33,152.47,156.07,120,135.57,159,162,165,143.75,146.25,150.75,162.8,156.57,144.81,158.92,,148.18,155.84,202.5,148.6,171.5,154.2,135,160.83,141.5,172.75,154.32,137.8,171.5,147.99,152,146.81
,Palm Oil (Packed),129.76,166,91,126.5,123.5,140.67,,122.93,122.78,100,128,141,127,141,137.43,117.25,114.5,133,123.38,126.19,147.11,,118.91,138.63,125,121.29,146,137.53,121,139.91,111.56,,140.47,124,130.67,120.36,121,122.68
,Gur,55.17,130,35,50,72,59.33,83.25,62.61,47.77,55,51.71,60,65,59,55.5,53.5,49.67,52.88,52.44,51.9,61.45,70,50.14,55.32,78.4,106.8,77.14,53.47,60,51,45.27,61,58.03,53.1,73.25,51.83,56.25,53.76
,Tea Loose,270.66,520,154,200,321,292.33,355,244.35,273.12,269,223.71,245,300,322.5,209.38,238.25,270.67,315.5,245.13,244.13,234,480,229.12,307.47,370.67,491.18,315.73,281.19,335,274.36,294.58,378.33,284.36,284.5,234,238.15,265.25,268.52
,Salt Pack (Iodised),22.02,30,9,27,19.5,18.33,19.5,13,23.23,28,20.14,27,28,25.5,18.75,24.75,27.83,27.88,25.25,17.81,14.83,28,16.06,24.16,19.33,29.82,18.08,26.68,26,26.57,19.75,21.33,24.61,19.6,10.5,25.95,28.5,24.29
,Potato,37.56,70,20,35,66.5,44.33,40.5,34.3,33,39,39.43,33,38.5,50,38,33,38.42,37.63,34.81,40.29,49.73,45,33.92,41.84,40.67,49.73,42.85,34.1,50,32.43,37.47,43,51.35,36.4,39.25,31.29,39.75,32.14
,Onion,57.77,120,28,60,120,54.67,67.5,66.61,53.91,52,55.29,60,53,56,56.25,54.75,63.75,65.38,60.63,46.55,72.55,70,46.16,56.74,77.78,65.82,76.77,58.1,58,58.36,50.2,78.83,68.29,46.1,76.5,51.8,56.75,63.67
,Tomato,50.6,130,19,50,96.5,36.67,73.5,62.19,54.77,60,41.57,50,38,41,42.63,65.5,57.75,60.5,58.81,32.19,32.73,80,45.46,44.63,56.56,99.09,72.15,46.1,31,52.71,54.47,67,32.65,42.2,64.75,48.37,45.25,59.24
