Date 04/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
,Groundnut Oil (Packed),195.26,275,132,190.5,237,179.5,169,210.17,194.87,183,198.14,216,217.33,241,185.83,211.5,225.75,,193,183,235.33,,193.24,197.58,,,152,,203,239,231.69,187.63,,217.15,169.1,,198.89,167,205.57
,Mustard Oil (Packed),166.14,209,129,165,165.5,174,177.33,168.87,156.35,139,163.63,178,190.33,184,168.67,156.25,185.42,186.33,170.11,170.9,192.3,176,163.54,182.17,181,162.6,179.56,153.64,178.1,150,169.13,152.74,189.33,182.73,162.9,178,161.16,154,168.93
,Vanaspati (Packed),140.44,183,92,143,166.5,133,129,142.44,133.91,124,126,161,160,162,137.5,135,155.58,153.29,142.28,128.58,163.92,183,136.8,147.42,154,157,134.43,154,141.67,145,160.2,129.6,142.17,150.58,111.67,139,138.99,143.5,140.33
,Soya Oil (Packed),139.5,198,92,148,,132.5,141.75,140.78,136.17,119,131.5,156,151.67,168.5,138.67,136.5,145.8,146.57,142.83,135.61,146,192,139.26,146.32,154,149.4,131.91,157.79,141.83,,150.67,131.62,155.5,,114.38,146.5,138.75,139,136.13
,Sunflower Oil (Packed),144.57,220,105,154,129,152,166,149.11,150.65,120,135.88,156,160.67,158.5,139.17,143.25,150.75,157.5,155.25,140.16,153.69,,144.51,152.11,,186,147.2,176,144.65,126,157.85,140.91,166,146.06,136,168,146.64,151,142.93
,Palm Oil (Packed),125.63,167,91,137,110.5,132.5,,118.86,114.8,100,125.57,134,122.33,135,128.6,116.5,114.5,131,122.72,123.29,146,,117,135.25,154,125,121.43,146,131,115,132.58,111.75,,131.64,123.4,130.67,118.79,121,119.75
,Gur,55.37,130,35,50,77.5,59.25,85.75,61.74,47.74,55,49.75,62,67,59,56.17,53.25,50.17,54,51.76,51.71,60.25,70,50.75,56.17,81,78.4,106.8,76.86,53.05,60,52.33,45.26,61,58.18,53.6,71.25,51.92,56.5,53.8
,Tea Loose,270.98,520,154,300,300,298.5,355,244.65,278.45,269,217.38,245,262.33,322.5,206.5,239.5,267.92,310,250.81,245.06,233.6,480,228.98,304.67,220,367.3,490.82,309.55,285,332,273.73,293.81,401.67,285.17,284.78,227.75,239.09,267,258.67
,Salt Pack (Iodised),22.02,30,9,27,19,20.75,19.5,13.22,23.26,28,19.75,27,27.33,25.5,19.17,24.75,27.83,27.86,25.06,17.94,15.08,28,16.29,24,25,18.9,29.82,17.62,26.5,26,26.47,19.69,21.33,24.5,20.3,11,26.3,27.75,23.27
,Potato,37.11,71,24,40,70.5,42,38.5,33.61,32.49,39,39.5,33,36,49.5,41.5,32.75,37.83,36,34.72,40.29,49.31,44,33.74,40.74,41,38.5,48.36,40.36,33.9,50,31,37.26,40.83,50.21,37.9,35.25,31.11,41.25,29.93
,Onion,54.77,90,30,60,77.5,53.75,59.5,62.65,49.54,52,55.38,60,61,54.5,58,54.75,63.42,62.71,53,45.23,61.67,70,48.88,50.16,70,71.3,65.73,69.71,55.6,60,57.73,50.1,71.67,59.33,47.2,65.25,49.66,57.75,57.87
,Tomato,57.85,140,19,60,125,44.5,76,63.55,56.77,60,48.88,57,58.67,55.5,60.67,76,66.75,68.86,70.5,41.71,40.42,80,53.26,53.21,93,62.8,100.73,75,59.5,48,56.07,58.32,72.5,42.7,47.3,68.25,55.97,60.75,65.07
