Date 22/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
,Groundnut Oil (Packed),195.43,275,132,187,228,176.25,169,206.86,197.12,183,200,216,214.5,242.5,189.38,217,225.75,,198.75,185.81,229.33,,195.33,196.47,,152,,209.5,253,233.54,187.24,,213.94,169.1,,198.75,169,211.67
,Mustard Oil (Packed),168.34,221,124,165,179,177.75,175.5,171.46,163.7,139,162.83,178,191.5,184,175.38,164,187.25,190.57,169.71,171.13,198.11,182.5,164.79,182.5,167.9,181.22,155.93,183.84,143,171.47,152.81,188.67,184.37,164.2,180.75,161.51,148,164.68
,Vanaspati (Packed),144.2,209,92,143,166.5,133.75,133.67,148,141.86,124,133.17,167,170.5,162,140.5,158.5,160.75,156.38,147.29,130.06,173.42,176,139.17,148.84,159.33,136.29,156,152.5,150,167.27,129.97,140.83,157.79,114.67,139,140.56,155,138.67
,Soya Oil (Packed),142.68,198,92,148,,142.5,144.5,145.46,144.7,119,133.67,162,151.5,168.5,141.88,150.5,147.64,152.63,145.53,138.81,146,192,142.23,150.05,153.2,134.73,158.87,151.6,,157.4,132.87,151.5,,116.13,153.25,140.76,140,136.32
,Sunflower Oil (Packed),150.46,253,105,159,139,156.5,168.33,149.78,156.48,120,138.5,163,162,165,143.75,157,150.75,162.8,157.67,145.22,161.15,,147.26,155.05,215.5,147.25,171.5,157.26,137,161.23,142.05,172.75,155.65,138.6,175,148.47,154.5,146.86
,Palm Oil (Packed),130.69,170,91,144,120.5,137.5,,121.07,124,100,131.8,141,127,141,138,132.5,114.5,133,124.29,126.38,150.4,,117.25,138.88,125,121.29,146,141,121,139.33,111.56,,141.94,124.3,134.33,121.04,149,123.11
,Gur,55.14,130,34,50,73.5,59.25,83.25,61.46,47.92,55,50.83,60,65,59,55.5,53.5,49.58,52.88,51.59,52.22,61.58,70,50.17,55.05,78.4,106.8,76.67,53.89,60,51,45.13,61,58,53.1,73,51.57,54,53.91
,Tea Loose,272.47,520,154,200,321,298.5,360,241.83,276.56,269,223.83,245,300,322.5,209.38,258,270.67,316,248.53,243,235.1,480,228.69,308.26,367.6,491.45,321,291.31,335,275.33,294.74,378.33,284.48,284.5,232,238.33,269.5,273.55
,Salt Pack (Iodised),21.91,30,9,27,19.5,18.75,19.25,13.13,23.76,28,18.67,27,28,25.5,18.75,26,27.83,27.88,24.88,17.88,15.08,28,15.94,24.16,18.9,29.82,18.33,25.79,26,26.4,19.76,21.33,24.61,19.6,10.5,25.84,29,23.86
,Potato,37.66,70,21,40,65,42.25,40.5,33.92,33.05,39,39.5,33,41,52.5,38,34.5,38.17,38.13,35.24,40.53,51.25,44,33.67,42.05,40.8,49.64,41.93,33.79,50,32,37.03,43.5,51.5,36.3,39.25,31.41,46.5,33.05
,Onion,57.22,120,24,60,120,53.5,67.75,64.54,54.05,52,51.83,60,55.5,57,56.88,58.5,62.58,65.25,59.29,46.69,73,70,46.15,57.11,76.2,66,75.2,57.89,58,56.6,49.45,78.33,65.88,46.2,73,50.89,58.5,61.73
,Tomato,50.87,127,20,50,90,35.25,73,62.74,54.35,60,41.33,47,40.5,42.5,43.13,55,59.5,60.38,57.65,33.16,35.92,80,44.75,43.37,56.4,99.18,73.87,47.95,31,54.4,53.74,67.5,37.29,41.9,64.25,46.91,43.5,58.91
