Date 20/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
,Groundnut Oil (Packed),195.64,275,142,176,228,176.25,169,206.86,198.44,183,198.33,216,214.5,241,186.5,211.75,215.8,,197.42,185.63,234.5,,194.8,198,,172,200,209.5,258,233.77,188.79,,214.79,169.4,,198.71,177.33,211.89
,Mustard Oil (Packed),167.55,221,124,165,182,177.75,175.5,172.78,160.91,139,163.14,178,191.5,184,172.5,155.25,185.92,190.14,168.44,171.38,199.33,177,164.67,183.72,167.5,177.63,155.36,184.27,151,171.5,153.64,188.67,184.27,163,180.75,161.93,158.67,166.58
,Vanaspati (Packed),143.57,209,92,143,166,133.75,134.67,148.06,138.79,124,129.57,167,170.5,162,139.67,138.75,157.33,156.5,146.94,129.94,173.08,170,139.25,149.21,159.33,122.2,146,153.43,156,167.36,130.7,140.83,157.36,113.67,139,140.3,152,141.33
,Soya Oil (Packed),142.73,192,92,154,,140,144,145.52,142.12,119,134.57,159,151.5,168.5,139.5,138.75,147.45,152.63,144.75,138.25,146,192,142.51,151,153,133.6,157.79,151.6,,157.57,134,151.5,,114.38,152.5,140.78,144.67,137.89
,Sunflower Oil (Packed),149.93,253,105,159,140,154.75,168.33,149.18,155.76,120,139.29,159,162,165,140.83,146.5,150.75,162.8,157.43,144.44,160.46,,148.17,155.84,215.5,150.25,171.5,158.13,135,161.67,142.35,172.75,154.67,138,175,148.29,155.33,146.68
,Palm Oil (Packed),129.57,170,91,134,123.5,135.75,,121.71,121.39,100,128.33,141,127,141,137.33,117.25,114.5,133,122.75,125.88,150,,119.05,138.63,125,123.8,155.5,139.42,121,139.36,111.56,,140.45,124,130.67,120.74,149,122.63
,Gur,55.2,130,34,50,72.5,59.5,83.75,61.78,47.74,55,50,60,65,59,55.67,53.75,49.67,52.88,51.19,52.31,62.83,70,49.96,55.26,78.4,107.56,76.67,53.6,60,51.36,45.07,61,57.97,53.1,73,51.7,57.33,54.26
,Tea Loose,270.65,520,154,200,321,298.5,355,241,274.18,269,218.86,245,300,322.5,209.67,239.5,270.67,315.25,246.38,244.25,237.1,480,229.04,307.47,367.6,488.6,308.75,280.92,335,276,294.62,378.33,284.48,284.5,232,238.26,277,267.37
,Salt Pack (Iodised),21.89,30,9,27,19.5,19,19.5,13.09,23.66,28,18.57,27,28,25.5,19,24.75,27.83,27.88,24.75,17.88,15.23,28,16.08,24.16,18.9,29.8,18.14,26.8,26,26.5,19.77,21.33,24.56,19.67,10.5,25.85,29,23.74
,Potato,37.63,70,21,40,65,42.25,40.5,34.22,33.2,39,38.43,33,39,49.5,38.43,33,38.5,38.13,35.13,40.34,50.17,45,33.88,41.53,40.6,49.7,43.71,34.07,50,31.57,37.04,43,51.18,36.4,39.25,31.23,41.67,32.58
,Onion,57.4,120,28,60,120,55.25,67.75,66.17,53.23,52,51.86,60,54.5,56,55.71,54.75,63.75,65.13,59.38,46.38,74.08,70,45.73,56.58,76.5,64.4,76.64,58.4,58,57.64,50.21,78.33,67.24,46.4,73.5,51.3,59,62.16
,Tomato,50.42,130,19,50,91.5,35.75,73,63.68,54.51,60,38.86,50,38,43.5,45,65.25,58,60.13,57.63,32.69,34.33,80,45.2,44.58,55.1,96.7,75.93,43.2,31,53.57,53.36,66.67,34.64,42.3,65.75,47.45,44.67,57.63
