Date 06/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
,Vanaspati (Packed),141.26,209,92,143,163.67,135.25,130,143.05,133.48,124,128.5,161,164.5,170,139.17,135.5,156,154.86,142.61,128.03,167.46,183,137.06,147.53,154,157,129.33,152.33,143.55,153,162.47,131.04,142.17,153.09,111.78,139,139.41,144.75,139
,Soya Oil (Packed),139.93,198,92,148,,136,141.75,141.64,137.5,119,133.38,156,148,170,140.17,137,145.8,148.29,143.44,135.78,146,192,139.76,147.32,154,152.4,132.3,157.47,138.43,,152.53,133.19,155.5,,114.38,146.75,138.81,139.75,134
,Sunflower Oil (Packed),145.59,220,105,148,135.33,152.25,166,146.16,150.62,120,139.5,156,161.5,159,141.17,143.5,150.75,157.33,155.5,140.66,155.64,,145,152.63,,186,147.2,171.5,147.32,132,158.92,141.67,166,148.06,136,169,147.27,152,142.75
,Palm Oil (Packed),127.4,170,91,142,121,132.75,,120.94,117.95,100,127.86,134,122.5,143,128.8,116.5,114.5,132.8,122.89,122.78,148.17,,118.86,135.25,154,125,123.33,165,133.56,117,133.83,115,,136.88,124.1,130.67,118.64,121,120
,Gur,55.4,130,35,50,76.67,59.5,83.5,61.72,47.43,55,49.63,63,63,60,56.17,53.5,50.17,54.43,51.47,51.91,61.54,70,50.55,56.11,84,78.4,107.56,76,53.45,60,52.07,45.29,61,58.25,53.4,71.75,51.83,56.25,53.81
,Tea Loose,269.31,520,154,200,310,299.25,355,244.16,267.3,269,222.88,245,293.5,330,206.5,239.75,268.17,309.71,250.41,244.72,233.91,480,228.8,306.89,230,368.3,494.9,302.46,276.33,333,274,294.28,401.67,285.35,284.78,227.75,238.37,265.25,262.38
,Salt Pack (Iodised),21.96,30,9,27,19.67,19.75,19.5,13.08,22.93,28,19,27,28,26,19.17,25,27.83,27.86,25.12,17.94,15.07,28,16.41,24.16,25,18.9,29.8,17.57,25.91,26,26.53,19.92,21.33,24.5,20.1,11,26.28,27.75,24.1
,Potato,37.28,71,25,40,70.33,42.5,38.5,33.64,32.77,39,39.38,35,39,47,40,33.25,37.83,36.86,34.83,40.69,50.36,42.5,34.31,40.95,41,38.7,49.2,40.47,33.05,50,31.27,36.71,40.83,51.03,37.5,36.25,31.21,40.25,31.1
,Onion,55.63,90,30,60,81.67,55.75,61.25,62.76,49.9,52,53,60,60.5,55,56,54.75,64.08,65,53.11,45.53,69.23,70,49.2,50.84,70,72.1,66.1,69,56.27,60,58,49.29,71.67,62.47,47.4,66.75,50.07,56,59.67
,Tomato,56.82,140,17,60,126.67,44,73.75,63.08,55.5,60,49.13,57,58,49,56.33,75,62.75,66.29,69.67,40.94,40.31,85,53.33,52.11,98,61.4,100,75,56.77,47,53,57.61,71.67,41.16,46.5,68,53.72,50.25,66.24
