Date 11/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
,Groundnut Oil (Packed),195.87,275,132,183,237,176.67,169,204.71,192.25,183,199.17,216,214.5,241,189.57,212.5,225.75,,193.14,185.69,235.33,,194.89,197.74,,,152,,198.67,258,234.92,187.7,,215.78,169.1,,198.61,172,209.89
,Mustard Oil (Packed),166.79,221,124,165,169.67,175,179,171.27,157.18,139,161.14,178,191.5,184,176.43,157,185.5,189.86,170.44,171.34,194.56,173,163.33,184.17,181,166.67,183.29,153.8,182.75,161,171.43,152.61,187.83,183.64,163,178.5,161.28,161.67,164.19
,Vanaspati (Packed),142.04,209,92,144,162.67,133.75,137,144.4,134.88,124,127.86,163,169,162,140.86,135.75,156.5,155.38,143.71,129.25,168.54,158,138.18,148.95,154,158.5,134.6,152.33,146.61,161,165.79,129.77,140.83,155.77,112.22,139,140.25,142,136.45
,Soya Oil (Packed),140.86,198,92,154,,136,146.67,141.52,137.56,119,133,158,151.5,168.5,141.71,138.25,145.8,149.5,144.06,137.31,146,194,140.98,149.05,154,152.44,135,157.27,143.83,,155.57,131.93,154.17,,114.38,147.25,139.88,140.33,135.76
,Sunflower Oil (Packed),147.13,211,105,150,136.33,154.75,161.5,151.12,151.76,120,138.71,159,160.5,158.5,144,144.25,150.75,160.17,155.81,143.19,156.86,,146.16,153.42,,152,146.8,171.5,149.4,135,158.17,141.09,167.5,149.53,135.89,169,147.7,155,144.5
,Palm Oil (Packed),128.17,170,91,142,121.33,135.5,,119.77,119.58,100,128.33,137,127,137,134.14,117,114.5,132.4,123.76,124.16,149.67,,115.4,135.63,154,125,120.6,148,135.35,121,140.45,111.75,,137.44,124.1,135,119.04,93,120.67
,Gur,55.15,130,34,50,76,60.5,86.67,61.57,47.47,55,48.86,62,64,59,55.71,53.75,50,53.13,51.35,51.87,61.69,71.5,50.51,56.11,84,78.75,108.5,77.33,53.65,60,51.71,45.1,61,58.31,53.5,71.75,51.96,58,53.43
,Tea Loose,271.25,520,154,300,310,299.25,340,253.24,276.67,269,217.14,245,295,322.5,209.29,239.75,268.25,314,250.12,242.55,233.91,480,228.87,307.11,240,363.67,492.11,315.36,290.41,335,273.43,294.63,401.67,283.78,284.78,227.75,238.41,267.33,268.9
,Salt Pack (Iodised),22.04,30,9,27,19.67,19.5,20,13.24,23.15,28,18.43,27,28,25.5,18.86,24.5,27.92,27.75,25.06,17.81,15.14,28,16.02,24.16,25,19.33,29.78,17.8,25.8,26,26.29,19.72,21.33,25.13,20.1,11,26.11,28,24.48
,Potato,37.5,71,22,40,68,42.75,40,33.57,32.82,39,39.29,33,38,50.5,37.71,33.5,38,37.25,35.11,40.56,51.79,45,34.07,41,45,39.44,49.78,40.47,33.75,50,31.64,37.16,40.83,51.28,37.1,39.25,31.37,34,32.57
,Onion,58.06,90,28,60,81.67,54,69.33,64.29,51.21,52,52.57,67,61.5,57,57.14,54.75,69.25,66.25,58.94,45.94,80.54,75,49.7,54,74,75.67,64.56,73.27,60.2,58,61.43,49.58,75,69.59,48.2,71.25,52.57,57,61.67
,Tomato,54.3,140,17,60,125.67,37.25,73,61.29,56.53,60,43.29,50,46,48.5,52.86,70.5,60,63.88,65.83,37.56,35.69,80,51.78,48.26,100,55.44,99.11,75.8,51.35,40,52.5,56.13,72.5,33.75,45.6,66,53.03,50,63.1
