Date 02/12/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
,Groundnut Oil (Packed),194.91,288,132,176,251.5,175.5,169,214.33,198,183,200,216,231,242.5,189.5,211.5,225.75,,201.17,187.22,226.33,,193.76,196.32,,153,,206,247,233.31,186.69,,212.97,168.5,,199.31,178,213.67
,Mustard Oil (Packed),169.2,213,124,181,179,176.5,175.5,170.19,167.28,139,161.38,178,209,187,175.63,155.25,188.17,189.57,170.81,173.17,201.6,190.5,165.12,182.56,167.4,180.29,156.36,180.64,137,170.13,154.23,188.67,185.43,163.9,179.25,161.86,159,164.64
,Vanaspati (Packed),144.7,209,92,143,164,134.75,133.67,145.63,144.11,124,132.75,167,179,163.5,140.5,138.75,162.67,159.63,147.81,131.94,180.6,176,140.04,149.11,157,129.8,156,149.25,146,166.87,130.62,140.83,161.23,114.67,159,141.49,152.67,137.9
,Soya Oil (Packed),143.43,198,101,154,,143.5,144.5,145.19,146.57,119,138.63,161,157,169.5,143.25,139.25,149.18,155.63,147.19,139.88,144,194,142.08,150.37,156.5,132.89,159.21,150.5,,157.8,133.52,151.5,,116.13,161.67,141.34,145,137.18
,Sunflower Oil (Packed),152.25,253,108,159,140.33,155.5,169,153.24,158.03,120,144.38,163,179,166.5,144.13,146.5,151.75,165.8,160.93,149.56,166.45,,149.12,156.47,220,150,171.5,154.82,135,161.46,144.19,166.5,155.93,139.78,175,148.86,155.33,147.95
,Palm Oil (Packed),131.92,166,91,144,127.5,137.5,,120.36,126.08,100,129.57,143,124,152,138.14,117.25,114.5,131.33,125.5,129.65,154.38,,121.05,140.27,129.5,124.4,146,141.63,121,140.25,113.88,,142.03,124.6,149.5,122.59,149,123.67
,Gur,54.81,130,35,50,74,59,83,61.05,47.97,55,50.88,60,70,61.5,55.5,53.5,50.08,52.63,50.53,52.28,62.27,70,49.58,54.74,79.4,108.5,76.67,53,58,51.2,45.41,61,57.5,53.1,71.75,51.75,57.33,53.73
,Tea Loose,270.6,520,155,300,309,298.5,355,247.57,275.75,269,224.5,245,390,322.5,208.75,239.25,271.5,314.75,247.94,244.75,230.9,480,229.14,308.42,370.3,492.89,318.58,273.61,337,275.73,294.73,378.33,282.96,284.5,226.25,236.76,276.67,272.55
,Salt Pack (Iodised),22.06,31,10,27,19.67,18.5,19.5,13.43,23.46,28,19.38,27,28,25.5,18.75,24.5,27.92,27.88,24.94,17.81,15.08,28,16.12,24.26,18.9,29.78,18.21,26.64,26,26.67,20.37,21.33,24.52,19.6,10.5,26.07,28.67,24.5
,Potato,38.02,70,24,40,59.33,42.75,39.25,34.52,33.03,39,38.5,37,39,50,38.75,33.25,38,38.88,36.18,40.72,51.83,44,33.44,42.37,41,49.89,41.5,41.05,55,35.2,37.73,44.33,51,36.7,39,31.57,40.67,32.64
,Onion,53.72,100,24,50,92.67,53.75,61.25,57.62,49.54,52,52.5,50,41,71.5,45,51.75,58.58,61.38,53.53,46.84,76.08,70,43.53,56.26,69.8,67.44,74.43,54.23,60,52.73,46.93,66.67,64.4,46.6,61.5,46.38,56.67,55.36
,Tomato,52.4,120,19,50,92.67,39,73,61.86,54.3,60,42.13,48,38,46,46.5,63,57.92,58.13,54.53,37.88,47.75,80,44.51,44.74,63.2,92.33,74.36,54.77,41,52,53.13,67.5,51.3,42,66.5,46.17,43.67,60.32
