Date 13/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
,Groundnut Oil (Packed),195.59,275,132,183.67,237,176.25,169,206.14,190.67,183,199.17,216,214.5,241,189.13,211.75,225.75,,195.36,185.78,235.33,,194.7,198.05,,152,,198.67,246,233.38,187.31,,214.91,169.3,,198.63,172.33,207.13
,Mustard Oil (Packed),167.08,221,124,165,167,173.75,179,170.88,157.18,139,163.86,180,191.5,184,175.5,156.5,185.83,189.86,175,171.34,196.67,184,164.9,184.06,166.3,179.13,152.14,180.06,152,170.93,152.97,188.67,185.16,163,178.5,161.56,163.33,166.5
,Vanaspati (Packed),142.57,209,92,144,163.33,133.75,137,147.26,135.06,124,129.43,165,169,162,140.63,135.5,156.42,155.63,147.07,129.59,167.92,,138.88,149.11,157,133.2,152.33,145.65,157,166.2,130.28,140.83,156.28,112.56,139,140.75,143,138.2
,Soya Oil (Packed),141.77,198,92,154,,136,146.67,144.75,138.51,119,134.43,159,151.5,168.5,140.75,138,145.8,149.5,147.87,137.16,146,,142.1,150.21,152.9,134.11,156.29,145.33,,156.47,132.96,154.17,,114.38,151.25,140.68,141,137.15
,Sunflower Oil (Packed),147.93,220,105,155,135,154.75,163.5,149.06,151.58,120,139.57,159,160.5,158.5,143.5,143.5,150.75,160.33,158.15,143.38,157,,147.27,154.26,186,146.25,171.5,147.72,135,160.31,141.76,167.5,152.16,137.6,169,147.99,156,146.11
,Palm Oil (Packed),129.02,170,91,143,121.67,135.5,,124.56,119.4,100,128.33,139,127,139,136.33,116.75,114.5,132.4,126.93,124.44,149.82,,118.86,137.56,125,123.17,146,134.53,121,137.92,111.75,,139.81,124,135,120.06,93,123.83
,Gur,55.06,127,34,50,77,60.5,86.67,61.92,47.64,55,49.43,60,64,59,55.63,53.75,49.92,53,51.36,52.16,62.17,80,50.16,56.11,78.4,104.75,76.78,52.67,60,51.73,44.87,61,58.34,53.5,73,52.03,58,53.85
,Tea Loose,271.26,520,154,200,310,299.25,340,243.58,276.78,269,216.86,245,295,322.5,209.63,239.75,268.17,314.25,256.29,244.13,234.3,480,228.98,307.11,368.3,492.56,320,291.5,335,273.8,294.59,403.33,284.92,284.67,231.5,238.29,266.67,272.45
,Salt Pack (Iodised),21.93,30,9,27,20,19.5,20,13.29,23.61,28,18.43,26,28,25.5,18.88,24.5,27.83,27.75,25.71,17.91,14.85,28,16.08,24.16,18.9,29.78,18.14,26.67,26,26.4,19.79,21.33,25,20.1,10.75,26.11,28,23.45
,Potato,37.59,71,22,40,67,43.25,41.67,34.2,33.03,39,39.29,33,38,51.5,38.13,33.25,38.42,37.25,35.27,40.44,51.15,45,34.3,41.26,40,49.67,41.21,34.11,50,31.6,37.2,41.67,52.31,37.3,39.5,31.4,34,32.2
,Onion,58.32,110,28,60,88.33,55.25,72.67,65.56,50.92,52,54.43,67,59,56,57.63,54.75,68.58,66.63,62.73,45.75,79.67,70,49.78,55.32,77.2,64.56,73.64,58.72,58,61.27,49.6,79.17,70.75,47.8,76.25,52.49,56.67,62.35
,Tomato,52.94,140,17,50,123.33,34.75,73,61.13,55.83,60,42,52,42.5,41,49.75,67,58.92,64.38,65.53,34.72,34.83,80,51.48,48.63,54.3,97.11,75.29,48.67,31,52.67,55.37,70.33,31.28,44.9,66.5,52.31,48.33,60.1
